Player_ID,Player_Name,Team_ID,Team_Name,Season,Competition,Position,Age,Nationality,In_Squad,Appearences,Goals,Assists,Minutes_played
1004834,George Ilenikhena,1096,Royal Antwerp Football Club,2023/2024,jupiler-pro-league,Centre-Forward,19,Nigeria,1,28,8,1,958
1004834,George Ilenikhena,1096,Royal Antwerp Football Club,2023/2024,volkswagen-supercup,Centre-Forward,19,Nigeria,1,1,0,0,4
1004834,George Ilenikhena,1096,Royal Antwerp Football Club,2023/2024,uefa-champions-league,Centre-Forward,19,Nigeria,1,6,1,0,153
1004834,George Ilenikhena,162,Association sportive de Monaco Football Club,2024/2025,uefa-champions-league,Centre-Forward,19,Nigeria,1,6,2,0,109
1004834,George Ilenikhena,162,Association sportive de Monaco Football Club,2024/2025,ligue-1,Centre-Forward,19,Nigeria,1,23,3,2,708
1004834,George Ilenikhena,162,Association sportive de Monaco Football Club,2024/2025,trophee-des-champions,Centre-Forward,19,Nigeria,1,1,0,0,72
1004834,George Ilenikhena,162,Association sportive de Monaco Football Club,2025/2026,uefa-champions-league,Centre-Forward,19,Nigeria,1,3,0,0,51
1004834,George Ilenikhena,162,Association sportive de Monaco Football Club,2025/2026,ligue-1,Centre-Forward,19,Nigeria,1,15,2,0,376
1033919,Mahamadou Doumbia,1096,Royal Antwerp Football Club,2023/2024,jupiler-pro-league,Central Midfield,21,Mali,1,9,1,0,366
1033919,Mahamadou Doumbia,1096,Royal Antwerp Football Club,2024/2025,jupiler-pro-league,Central Midfield,21,Mali,1,21,3,0,1652
1033919,Mahamadou Doumbia,1096,Royal Antwerp Football Club,2025/2026,jupiler-pro-league,Central Midfield,21,Mali,1,6,2,1,529
1033919,Mahamadou Doumbia,3674,,2025/2026,africa-cup-of-nations,Central Midfield,21,Mali,1,5,0,0,196
103427,Chris Smalling,985,Manchester United Football Club,2012/2013,uefa-champions-league,Centre-Back,36,England,1,2,0,0,180
103427,Chris Smalling,985,Manchester United Football Club,2012/2013,fa-cup,Centre-Back,36,England,1,5,0,0,438
103427,Chris Smalling,985,Manchester United Football Club,2012/2013,premier-league,Centre-Back,36,England,1,15,0,0,1016
103427,Chris Smalling,985,Manchester United Football Club,2013/2014,uefa-champions-league,Centre-Back,36,England,1,7,1,0,571
103427,Chris Smalling,985,Manchester United Football Club,2013/2014,fa-cup,Centre-Back,36,England,1,1,0,0,90
103427,Chris Smalling,985,Manchester United Football Club,2013/2014,premier-league,Centre-Back,36,England,1,25,1,0,1938
103427,Chris Smalling,985,Manchester United Football Club,2013/2014,community-shield,Centre-Back,36,England,1,1,0,0,74
