Team,flag,PELE,Tilt,GF,GA,W,D,L,tilt_cat
ESP,:es:,2096.6,Attacking (+.20),4.18,0.25,81.7,11.0,7.2,Attacking
ARG,:ar:,2065.2,Lean Defense (-.16),3.58,0.24,77.7,14.5,7.8,Lean Defense
FRA,:fr:,2035.9,Neutral (-.02),3.45,0.27,76.0,15.1,8.9,Neutral
ENG,:gb-eng:,2031.4,Neutral (-.05),3.38,0.27,75.5,15.5,9.0,Neutral
BRA,:br:,1990.1,Neutral (-.07),3.04,0.31,71.8,17.7,10.5,Neutral
POR,:pt:,1985.7,Lean Attack (+.13),3.17,0.34,72.5,16.5,11.0,Lean Attack
GER,:de:,1969.4,Very Attack (+.60),3.44,0.43,73.3,14.4,12.3,Very Attack
NED,:nl:,1964.9,Attacking (+.33),3.19,0.39,71.7,16.1,12.1,Attacking
COL,:co:,1951.9,Defensive (-.22),2.63,0.31,67.3,21.1,11.6,Defensive
NOR,:no:,1926.5,Attacking (+.21),2.80,0.42,67.6,18.7,13.7,Attacking
BEL,:be:,1913.9,Attacking (+.29),2.79,0.45,66.9,18.7,14.5,Attacking
CRO,:hr:,1908.7,Lean Attack (+.12),2.62,0.42,65.5,20.2,14.4,Lean Attack
URU,:uy:,1906.8,Lean Defense (-.13),2.41,0.38,63.7,22.5,13.8,Lean Defense
ITA,:it:,1905.4,Lean Defense (-.14),2.39,0.37,63.5,22.7,13.8,Lean Defense
ECU,:ec:,1903.0,Lean Defense (-.17),2.35,0.37,63.0,23.1,13.9,Lean Defense
SUI,:ch:,1902.8,Lean Attack (+.15),2.60,0.44,65.0,20.3,14.7,Lean Attack
TUR,:tr:,1887.5,Attacking (+.26),2.59,0.48,64.2,20.0,15.7,Attacking
DEN,:dk:,1885.2,Lean Attack (+.11),2.45,0.45,63.1,21.4,15.5,Lean Attack
SEN,:sn:,1880.8,Defensive (-.35),2.07,0.36,59.4,26.3,14.3,Defensive
JPN,:jp:,1873.9,Lean Attack (+.10),2.38,0.46,62.1,21.9,16.0,Lean Attack
AUT,:at:,1851.1,Attacking (+.29),2.38,0.54,60.9,21.3,17.8,Attacking
MAR,:ma:,1850.6,Very Defense (-.43),1.84,0.37,55.7,28.9,15.4,Very Defense
PAR,:py:,1833.7,Defensive (-.21),1.91,0.44,55.9,26.9,17.2,Defensive
RUS,:ru:,1826.9,Neutral (+.07),2.08,0.52,57.3,24.2,18.6,Neutral
MEX,:mx:,1823.5,Defensive (-.20),1.87,0.45,55.0,27.2,17.7,Defensive
SCO,:gb-sct:,1815.1,Neutral (+.05),2.00,0.54,56.0,24.8,19.2,Neutral
GRE,:gr:,1805.0,Lean Defense (-.19),1.78,0.48,53.3,27.9,18.9,Lean Defense
CAN,:ca:,1802.8,Neutral (-.07),1.85,0.52,53.9,26.6,19.5,Neutral
UKR,:ua:,1798.9,Neutral (+.02),1.89,0.55,54.2,25.7,20.1,Neutral
SWE,:se:,1798.0,Attacking (+.21),2.02,0.61,55.3,23.9,20.8,Attacking
SRB,:rs:,1796.0,Attacking (+.21),2.01,0.61,55.1,24.0,20.9,Attacking
POL,:pl:,1794.9,Attacking (+.27),2.05,0.63,55.3,23.5,21.2,Attacking
CZE,:cz:,1790.0,Lean Attack (+.15),1.94,0.61,54.2,24.7,21.1,Lean Attack
USA,:us:,1786.4,Lean Attack (+.10),1.89,0.60,53.6,25.3,21.1,Lean Attack
HUN,:hu:,1784.4,Attacking (+.24),1.97,0.65,54.2,24.1,21.8,Attacking
NGA,:ng:,1781.9,Defensive (-.21),1.65,0.51,50.9,29.0,20.1,Defensive
AUS,:au:,1781.2,Lean Defense (-.11),1.72,0.54,51.6,27.8,20.6,Lean Defense
WAL,:gb-wls:,1772.1,Neutral (-.06),1.71,0.57,51.0,27.6,21.4,Neutral
ALG,:dz:,1768.9,Lean Attack (+.16),1.84,0.65,52.2,25.3,22.5,Lean Attack
VEN,:ve:,1763.7,Lean Attack (+.10),1.77,0.64,51.3,26.1,22.6,Lean Attack
CHI,:cl:,1757.7,Neutral (�.00),1.68,0.62,50.1,27.2,22.6,Neutral
KOR,:kr:,1755.1,Lean Defense (-.13),1.58,0.58,48.9,28.9,22.2,Lean Defense
SVN,:si:,1753.0,Lean Defense (-.15),1.56,0.58,48.5,29.2,22.3,Lean Defense
IRL,:ie:,1752.7,Defensive (-.28),1.48,0.53,47.5,30.9,21.6,Defensive
